Kualitas Beras_,,,,,,,,,,,,,
,Rata-Rata Harga Beras Bulanan di Tingkat Penggilingan Menurut Kualitas_ (Rupiah),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Premium,13662.99,14525.25,14548.03,13511.92,12999.61,12901.82,13241.41,13083.54,13010.53,12996.22,12846.18,13005.17,-
Medium,13187.17,14161.81,13964.6,12759.11,12071.41,12313.56,12518.68,12627.46,12608.47,12554.97,12394.92,12447.45,-
Pecah,13159.26,13607.14,12946.15,12366.67,11700,12073.33,12346.67,11944.44,12362.5,12762.5,12000,12700,-
